Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,RainfallTomorrow,season
2009-01-01,MountGambier,12.6,17.0,0.8,4.8,6.5,SW,56.0,SW,SW,28.0,35.0,66.0,43.0,1008.3,1011.6,7.0,5.0,14.3,16.6,No,No,0.0,Summer
2009-01-01,Adelaide,16.9,22.9,0.0,7.875,10.9,SW,50.0,SW,SW,17.0,20.0,58.0,40.0,1011.3,1012.4,4.857142857142857,5.285714285714286,18.1,22.5,No,No,0.0,Summer
2009-01-01,Sydney,18.4,34.7,0.0,9.8,12.9,SW,61.285714285714285,W,NNW,11.0,17.0,73.0,22.0,1005.5,1000.7,4.0,6.0,22.0,34.3,No,No,0.0,Summer
2009-01-01,Dartmoor,15.25,26.5375,0.1,4.8,6.5,SW,61.285714285714285,W,SW,21.125,31.5,55.0,28.875,1006.2875,1005.4125,4.857142857142857,5.285714285714286,19.425,25.5875,No,No,0.175,Summer
2009-01-01,SydneyAirport,17.7,35.1,0.0,9.8,12.9,S,72.0,NW,NW,15.0,33.0,63.0,13.0,1005.3,1000.2,6.0,6.0,22.9,34.0,No,No,0.0,Summer
2009-01-01,Cobar,17.9,35.2,0.0,12.0,12.3,SSW,48.0,ENE,SW,6.0,20.0,20.0,13.0,1006.3,1004.4,2.0,5.0,26.6,33.4,No,No,0.0,Summer
2009-01-01,Melbourne,14.7,20.4,0.0,5.6,8.8,SW,69.0,W,SW,33.0,43.0,68.0,39.0,1005.4,1006.5,7.0,7.0,15.9,19.6,No,No,0.2,Summer
2009-01-01,Canberra,12.6,27.1,0.0,10.6,13.3,W,65.0,NW,WNW,26.0,41.0,37.0,24.0,1003.1,1001.1,1.0,1.0,19.7,26.2,No,No,0.0,Summer
2009-01-01,MelbourneAirport,11.2,19.9,0.0,5.6,8.8,SW,69.0,W,SW,33.0,43.0,55.0,37.0,1005.1,1006.4,7.0,7.0,15.9,18.1,No,Yes,1.2,Summer
2009-01-02,MelbourneAirport,7.8,17.8,1.2,7.2,12.9,SSE,56.0,SW,SSE,31.0,26.0,50.0,43.0,1018.0,1019.3,6.0,7.0,12.5,15.8,Yes,No,0.0,Summer
2009-01-02,Melbourne,10.0,18.6,0.2,7.2,12.9,SSE,56.0,SW,SSE,31.0,26.0,56.0,39.0,1018.2,1019.6,5.0,3.0,12.9,18.1,No,No,0.6,Summer
2009-01-02,Sydney,18.8,22.7,0.0,11.0,5.9,S,49.142857142857146,E,ESE,11.0,33.0,62.0,57.0,1012.8,1013.8,6.0,7.0,20.1,20.8,No,No,0.0,Summer
2009-01-02,SydneyAirport,18.5,23.0,0.0,11.0,5.9,S,63.0,SSE,SE,15.0,35.0,63.0,58.0,1012.9,1014.1,5.0,6.0,20.6,20.1,No,No,0.0,Summer
2009-01-02,Canberra,12.7,23.8,0.0,13.6,13.4,E,52.0,NNW,N,7.0,22.0,27.0,16.0,1010.2,1010.2,1.0,1.0,16.3,22.4,No,No,0.0,Summer
2009-01-02,Dartmoor,13.425,22.2125,0.175,4.8,11.7,S,49.142857142857146,SSE,SSE,19.875,24.25,46.875,35.375,1015.8125,1016.025,4.142857142857143,3.7142857142857144,16.7875,20.5375,No,No,0.075,Summer
2009-01-02,MountGambier,7.3,18.8,0.0,4.8,11.7,SSW,43.0,S,SSW,28.0,20.0,48.0,37.0,1020.6,1020.6,5.0,1.0,15.5,17.4,No,No,0.0,Summer
2009-01-02,Cobar,18.4,28.9,0.0,14.8,13.0,S,37.0,SSE,SSE,19.0,19.0,30.0,8.0,1012.9,1012.1,1.0,1.0,20.3,27.0,No,No,0.0,Summer
2009-01-02,Adelaide,13.9,24.1,0.0,14.2,12.6,SE,37.0,SSE,ESE,17.0,13.0,39.0,25.0,1020.9,1018.5,4.142857142857143,3.7142857142857144,16.1,22.7,No,No,0.0,Summer
2009-01-03,MountGambier,4.0,22.6,0.0,4.6,11.9,SSW,43.0,E,SE,13.0,13.0,55.0,33.0,1020.5,1017.0,7.0,3.0,13.3,21.3,No,No,0.0,Summer
2009-01-03,Sydney,17.0,23.0,0.0,9.0,0.5,SSE,32.666666666666664,ESE,ENE,13.0,15.0,58.0,49.0,1021.6,1019.4,8.0,8.0,18.8,21.4,No,No,0.0,Summer
2009-01-03,Melbourne,9.2,20.4,0.6,6.2,10.5,SSE,31.0,E,S,13.0,19.0,54.0,45.0,1021.1,1018.1,1.0,8.0,13.4,18.6,No,No,0.0,Summer
2009-01-03,Cobar,15.5,34.1,0.0,12.6,13.3,SE,30.0,E,N,13.0,7.0,51.285714285714285,7.0,1020.4142857142857,1011.6,5.166666666666667,1.0,16.17142857142857,32.7,No,No,0.0,Summer
2009-01-03,Dartmoor,11.5875,24.95,0.075,4.6,11.9,SSE,32.666666666666664,E,ENE,13.0,13.625,51.285714285714285,33.25,1020.4142857142857,1016.6375,5.166666666666667,5.142857142857143,16.17142857142857,23.375,No,No,0.0,Summer
2009-01-03,SydneyAirport,16.9,23.2,0.0,9.0,0.5,SSE,32.666666666666664,ESE,ENE,15.0,17.0,52.0,50.0,1021.8,1019.4,7.0,8.0,18.9,22.0,No,No,0.0,Summer
2009-01-03,Canberra,10.0,26.1,0.0,8.8,13.4,NE,31.0,NNE,NE,15.0,6.0,63.0,32.0,1019.5,1015.3,7.0,1.0,13.5,23.2,No,No,0.0,Summer
2009-01-03,Adelaide,13.8,29.1,0.0,7.625,12.7,SW,30.0,E,SW,9.0,13.0,26.0,15.0,1017.6,1014.7,5.166666666666667,5.142857142857143,21.9,28.2,No,No,0.0,Summer
2009-01-03,MelbourneAirport,6.3,21.1,0.0,6.2,10.5,SSE,31.0,E,S,13.0,19.0,51.0,35.0,1020.8,1017.6,1.0,7.0,13.4,19.6,No,No,0.0,Summer
2009-01-04,MelbourneAirport,8.1,29.2,0.0,6.4,12.5,SSE,35.0,NE,SSE,2.0,20.0,67.0,23.0,1016.2,1012.8,5.0,4.0,16.0,28.2,No,No,0.0,Summer
